
Image Name                     PID Session Name        Session#    Mem Usage
Dropbox.exe                   1800 Console                    1    283,936 K
Dropbox.exe                  13024 Console                    1      1,504 K
Dropbox.exe                   3824 Console                    1        300 K
svchost.exe                   3360 Services                   0      1,232 K
firefox.exe                  15380 Console                    1    327,152 K
crashhelper.exe              15660 Console                    1      1,656 K
svchost.exe                  15536 Services                   0      1,792 K
firefox.exe                   5620 Console                    1    418,340 K
svchost.exe                   8980 Services                   0      3,008 K
firefox.exe                  10772 Console                    1      3,892 K
firefox.exe                  18652 Console                    1     67,956 K
firefox.exe                  18872 Console                    1      8,236 K
RuntimeBroker.exe            18916 Console                    1      9,316 K
firefox.exe                  19316 Console                    1    219,360 K
firefox.exe                  19028 Console                    1      8,784 K
firefox.exe                  13932 Console                    1      5,708 K
Dropbox.exe                  17580 Console                    1      7,376 K
Dropbox.exe                   4300 Console                    1      8,420 K
Dropbox.exe                  19844 Console                    1     45,756 K
Dropbox.exe                  20260 Console                    1      3,688 K
Dropbox.exe                  10180 Console                    1      1,392 K
FileCoAuth.exe                3052 Console                    1     17,868 K
WindowsTerminal.exe           4836 Console                    1     64,932 K
OpenConsole.exe              13560 Console                    1      1,588 K
pwsh.exe                     16924 Console                    1     15,692 K
adb.exe                      14164 Console                    1      1,628 K
ShellExperienceHost.exe       9940 Console                    1     53,084 K
RuntimeBroker.exe             8688 Console                    1     18,876 K
Code.exe                     18236 Console                    1     78,492 K
Code.exe                      8684 Console                    1      3,032 K
Code.exe                      3036 Console                    1     49,896 K
Code.exe                     18412 Console                    1     18,376 K
Code.exe                     18196 Console                    1    236,840 K
Code.exe                     13292 Console                    1     74,136 K
MpDefenderCoreService.exe    17628 Services                   0     12,508 K
MsMpEng.exe                   1088 Services                   0    288,160 K
NisSrv.exe                   22460 Services                   0      4,820 K
backgroundTaskHost.exe        8940 Console                    1      5,356 K
RuntimeBroker.exe             1612 Console                    1      1,384 K
svchost.exe                  17404 Services                   0      1,280 K
svchost.exe                  21480 Console                    1     13,332 K
dllhost.exe                  15716 Console                    1      4,396 K
dasHost.exe                  20992 Services                   0        156 K
msedge.exe                   21124 Console                    1    160,128 K
msedge.exe                   20856 Console                    1      2,404 K
msedge.exe                   10648 Console                    1     33,640 K
msedge.exe                   21320 Console                    1      5,204 K
msedge.exe                   12148 Console                    1      9,016 K
msedge.exe                   21120 Console                    1     11,168 K
msedge.exe                   20944 Console                    1      8,464 K
msedge.exe                    8324 Console                    1    246,896 K
ShellHost.exe                 8568 Console                    1    121,100 K
IttefaqIronStore.exe          2900 Console                    1     13,656 K
BridgeCommunication.exe      23936 Console                    1      4,916 K
WmiPrvSE.exe                 13896 Services                   0     15,848 K
dbforgemysql.exe             16244 Console                    1    331,748 K
dbforgemysql.exe              3496 Console                    1      8,676 K
WhatsApp.exe                 16512 Console                    1    342,492 K
RuntimeBroker.exe            22312 Console                    1     35,216 K
ssmsee.exe                   24124 Console                    1     28,936 K
taskhostw.exe                18104 Console                    1        816 K
sppsvc.exe                   13852 Services                   0      5,352 K
node.exe                     23780 Console                    1      5,448 K
cmd.exe                      10840 Console                    1      1,368 K
node.exe                      9172 Console                    1      6,880 K
node.exe                      5168 Console                    1     92,192 K
firefox.exe                   1916 Console                    1    127,264 K
Code.exe                     13492 Console                    1     71,136 K
Code.exe                     22384 Console                    1    477,392 K
Code.exe                     23484 Console                    1     83,192 K
intelliphp.ls.exe            21024 Console                    1     52,052 K
conhost.exe                  25344 Console                    1      6,684 K
